grzöü|özgür,örgü,özgü,özür,göz
acnoy|yonca,onay,onca,oyna,can
eiksç|seçki,keçi,skeç,çeki,seç
aikln|lakin,nakil,nakli,klan,link
aklçı|açlık,çakıl,alçı,çalı,çal
artış|taşır,tıraş,şart,şıra,taş
ahinş|haşin,şahin,hani,inşa,şah
eiklç|çekil,çelik,çilek,ilçe,çile
kotuş|tokuş,koşu,kot,kuş,tok
agryı|aygır,yargı,ayır,ayı,ray
aalmç|çalma,lama,mala,ama,çam
klsuu|suluk,sulu,ulus,usul,ulu
aborv|bravo,avro,baro,boa,var
kkoru|korku,koku,koru,okur,kor
aapyy|yapay,yaya,pay,yap,yay
nosuy|soyun,yosun,oyun,son,sun
aakmç|çakma,amaç,açma,kama,maça
akorç|çorak,karo,kar,koç,çok
amuyz|uymaz,uzay,muz,yaz,zam
abclo|bolca,balo,boca,bal,bol
akyzı|yazık,kazı,yazı,kaz,kız
dkouz|dokuz,doku,doz,kod,koz
aktğı|kağıt,atkı,atık,katı,ağı
aamyğ|yağma,maya,yama,ağa,yağ
aopst|posta,paso,post,sopa,spot
akmtı|takım,akım,atım,kıta,takı
eikşş|keşiş,ekşi,şişe,keş,şiş
aktçı|tıkaç,çakı,çatı,taç,tık
deikş|deşik,kedi,şike,dik,diş
abklo|kablo,blok,kola,alo,bak
efirş|şerif,şifre,fire,fiş,şef
admoğ|doğma,doğa,moda,dağ,oda
kmouş|komşu,koşum,koşu,koş,oku
aktyı|kayıt,yakıt,kay,tay,yat
aefhr|ferah,refah,fare,hare,harf
aktış|atış,aşık,aşı,kış,şık
deikn|diken,kendi,denk,ekin,inek
akssı|saksı,sıska,ıska,kas,sık
akrış|karış,karşı,şarkı,şıra,aşk
aklov|vokal,kova,oval,kal,kol
akrtı|artık,katır,kart,arı,ırk
abloş|balo,boşa,baş,boş,şal
akloy|kolay,olay,koy,yak,yok
deilğ|değil,dile,eğil,iğde,dil
anyzı|yazın,aynı,yazı,anı,azı
aetyş|şayet,ateş,eşya,yaş,şey
ampyı|yapım,ayıp,yapı,ayı,yap
deikl|delik,dilek,deli,ilk,kel
aryğı|ayrı,ayır,ağrı,ağır,yarı
deerv|devre,deve,ever,evre,dev
akryı|ayrık,yarık,ayık,yıka,kır
alçış|çalış,alçı,alış,aşçı,çalı
artyı|ayırt,yatır,artı,art,ray
klosu|soluk,okul,oluk,sok,sol
ansyı|sayın,sayı,san,say,yas
ahtuy|yahut,yahu,hat,hay,huy
eiknt|etkin,etnik,tekin,ekin,inek
adhil|dahil,adli,dahi,hadi,hal
aamnz|azman,zaman,aman,nam,zam
akrzı|kızar,kazı,razı,arz,kız
egilş|geliş,gişe,işle,gel,ile
aknyı|kayın,yakın,yankı,yanık,kına
afirz|zarif,faiz,farz,zarf,zira
filos|fosil,filo,ofis,fil,lif
anryı|yarın,aynı,nar,yan,yar
aahkl|ahlak,hakla,halka,halk,hak
akntı|kanıt,tanık,takı,tank,tanı
akszı|sakız,askı,asık,kısa,sık
deklö|ödlek,köle,del,dök,öde
aklsı|saklı,ıslak,akıl,klas,kıl
adloğ|doğal,doğa,dal,dağ,oda
egirç|gerçi,geçir,geri,içer,geç
aklnı|anlık,kalın,kanlı,alın,kanı
diikş|dikiş,dişi,kişi,diş,iki
eiklş|eşlik,klişe,şekil,şekli,şike
aefiş|afiş,ifşa,şifa,fiş,şef
akmçı|çıkma,açık,maç,çam,çık
aktuz|tuzak,akut,uzak,uzat,kaz
deilz|dizel,dize,izle,diz,zil
aknçı|kaçın,açın,kan,kaç,çan
ahimz|mizah,azim,imha,imza,izah
aahpş|ahşap,paha,paşa,aha,hap
aahrç|haraç,araç,hara,harç,haç
eefns|enfes,nefes,sene,efe,fen
aknsı|sakın,sanık,kına,anı,san
amsyı|mayıs,sayım,sayı,say,yas
ckouş|coşku,koşu,koş,kuş,oku
aavyş|yavaş,ayva,yaşa,vay,yaş
aakrr|karar,arka,kara,ara,kar
alopt|palto,plato,topal,topla,opal
agnoy|yonga,onay,oyna,yoga,oya
aahst|hasat,hasta,hata,saat,saha
akkzı|kazık,kızak,kazı,azı,kız
aaryz|yazar,ayar,ayaz,azar,yara
eikmç|çekim,ekim,kim,çek,çim
abloy|boya,olay,bol,boy,yol
ahikn|kahin,nikah,hain,ikna,han
aalsy|salya,yasal,alay,yala,yasa
acksı|sıcak,askı,ıska,acı,kas
eikst|istek,kesit,eksi,eski,set
aalms|masal,salam,asal,asla,masa
eiprs|espri,siper,peri,pire,pres
akosy|yoksa,kaos,oysa,soya,soy
deknö|dönek,denk,dök,dön,öde
klouy|koyu,oluk,oyuk,koy,yok
aadmr|damar,drama,adam,dama,dram
diikz|dikiz,dizi,ikiz,dik,iki
beklo|bloke,blok,bel,kel,kol
ailmz|zalim,azim,imza,mazi,mil
aahrs|hasar,sahra,arsa,sara,sar
oprtu|otur,topu,turp,top,tur
abikn|kabin,bank,bina,iban,bin
abrtu|barut,tabur,tura,art,but
aruyı|uyarı,ayrı,uyar,yarı,arı
aknov|kovan,kano,kova,nova,kan
korsu|kurs,skor,soru,sok,sor
aaklp|lakap,plaka,kalp,kapa,plak
diinz|dizin,izin,din,diz,ini
arsğı|sağır,ağrı,sağ,sır,sığ
abryı|bayır,ayır,ayı,bar,bay
aarsy|saray,ayar,yara,yasa,say
beilz|bizle,bile,bez,bil,biz
abipt|tabip,pati,tabi,bit,tip
abikr|bakir,kabir,kibar,abi,bir
aakls|sakal,sakla,asla,kasa,saka
abist|basit,sabit,asit,asi,bas
arttu|turta,tutar,tart,tat,tut
aptyı|ayıp,tıpa,yapı,tıp,yap
aahtt|hatta,tahta,hata,taht,ata
aaflz|fazla,alfa,faal,ala,laf
beiny|beyin,niye,yeni,yine,bey
eikpt|tepki,ekip,peki,pike,pek
adnos|sonda,dans,soda,don,son
abksı|baskı,asık,kısa,bak,sık
astış|satış,taşı,sat,tas,taş
abort|torba,aort,orta,rota,bot
aryçı|çayır,ayrı,yarı,ray,çay
arstı|satır,rast,sarı,star,sırt
akmru|kuram,kamu,kura,kum,kur
akrsı|asır,sıra,kır,sar,ırk
aekrz|erzak,kare,zeka,kez,zar
deimy|deyim,midye,diye,yedi,yem
akstı|askı,atkı,atık,katı,kıta
aklyı|aylık,layık,akıl,kıl,yıl
aryış|yarış,ayır,şıra,aşı,yaş
aksyı|kıyas,ayık,sayı,kay,yak
ablot|tablo,olta,alo,alt,bal
aaksy|yasak,ayak,kasa,yaka,yasa
adefi|ifade,defa,feda,iade,def
aknrı|karın,kıran,kanı,kına,anı
abkuç|çabuk,abuk,uçak,kaç,çak
alntı|altın,altı,atlı,atıl,tanı
egirv|vergi,grev,veri,gir,ver
akmsı|kasım,akım,asık,kısa,ıska
ciins|cinsi,cins,sini,ini,sin
aadmm|madam,adam,mama,ada,dam
aklış|alkış,alış,aşık,kış,şık
aehlv|helva,levha,alev,hale,vale
beilş|beşli,bile,işle,bel,beş
eikks|eksik,kesik,eksi,kek,kes
aamyş|yaşam,maaş,maya,yaşa,ama
aackn|ancak,kanca,anca,cana,ana
ailvz|valiz,vaiz,vali,ila,vaz
eijlt|jilet,etli,ilet,jel,jet
ayzğı|ağız,yazı,ağı,yaz,yağ
amryı|ayrım,yarım,ayrı,yarı,ayı
alnyı|yalın,yılan,alın,aynı,nal
eikns|kesin,sinek,ekin,esin,inek
antyı|yanıt,anıt,tan,tay,yat
ahlzı|hızla,halı,hal,haz,hız
abors|borsa,baro,soba,bas,sor
arsyı|asır,sarı,sıra,say,sır
aklpı|kalıp,kalp,kapı,plak,kap
norsu|sorun,onur,soru,son,sun
arvzı|zırva,razı,arz,azı,var
afiln|filan,final,ilan,fil,laf
aknış|aşkın,aşık,kanı,kına,aşı
ahklı|haklı,akıl,halk,hak,kal
aalsğ|sağla,asal,ağla,ağa,sağ
adruy|duyar,uyar,dar,dua,duy
koptu|topuk,topu,kot,tok,top
ahils|ishal,sahil,silah,asil,sil
aabkş|başak,başka,kaba,şaka,bak
aabny|bayan,yaban,ayna,bay,yan
anrsı|nasır,sarın,anı,nar,san
ahltı|tahıl,altı,atlı,atıl,halt
aakms|aksam,makas,asma,kama,masa
eilyş|yeşil,işle,ile,yel,şey
ahisy|siyah,sahi,has,hay,his
akktı|katkı,atkı,atık,kıta,takı
dklou|doku,dolu,okul,dul,kod
aaklç|alçak,kalça,çakal,kala,çal
arszı|arsız,sarı,sıra,sar,zar
morsu|sorum,mors,soru,mor,som
aadny|dayan,aday,dana,daya,ana
ahiny|yahni,ayin,hain,hani,yani
eeknt|etken,keten,tekne,kene,kent
aeklm|emlak,kalem,kelam,elma,kale
klmou|lokum,oluk,kol,kum,oku
aakrç|kaçar,araç,çark,kaç,çak
aikpt|kitap,takip,ait,kit,tik
aakmr|karma,marka,rakam,ramak,arma
aaprz|pazar,arpa,azar,para,rap
aakpş|şapka,kapa,paşa,şaka,kap
aeltş|telaş,alet,atel,ateş,tel
aahky|kahya,ayak,yaka,aha,kay
aantv|tavan,vatan,tava,vaat,tan
abnot|baton,bant,nota,not,ton
amyzı|yazım,yazı,azı,yaz,zam
aelmt|metal,alem,meta,tema,tam
aiklp|kalp,klip,plak,ilk,pil
anoty|oynat,onay,oyna,oya,tay
akkyı|kayık,kıyak,ayık,yıka,yak
amort|ortam,tomar,aort,atom,mart
akory|koyar,karo,kar,kor,yok
aamyz|yazma,ayaz,maya,yama,ama
abnsu|sabun,buna,suna,bas,sun
aikls|akli,aksi,asil,klas,ila
aadky|dayak,adak,aday,daya,ada
ahisş|şahsi,sahi,şasi,his,şah
deinz|deniz,zinde,dize,din,diz
aadlm|damla,dama,lama,mala,dam
aakpr|parka,arap,arka,kara,park
aikrz|kiraz,kira,kriz,zira,kaz
alsty|slayt,salt,sal,sat,tas
akmrı|kırma,rakım,ırmak,akım,arı
krsıı|kısır,sırık,sıkı,ısır,ısı
aelms|elmas,emsal,selam,elma,sel
aiknt|antik,nakit,inat,tank,kin
anyyı|yayın,aynı,anı,yan,yay
akort|akort,ortak,orta,rota,toka
akmış|kamış,aşık,aşk,kış,şık
akksı|kasık,askı,asık,kask,kısa
aknot|nokta,kano,kont,nota,kat
eiklt|kitle,elit,etki,ilet,ile
deirv|devir,devri,deri,veri,dev
abkrı|bakır,bırak,bak,kır,ırk
aipst|ispat,pati,pist,pas,pis
ansçı|sıçan,açın,san,saç,çan
aekpr|akrep,parke,kare,krep,pek
aadmt|damat,adam,data,ata,tam
abkçı|bıçak,açık,çakı,çak,çık
alyış|yaşlı,alış,yaş,yıl,şal
adeir|daire,idare,irade,dair,adi
amnor|orman,roman,norm,nam,nar
aklos|solak,kaos,klas,kola,sol
aikns|sakin,sanki,aksi,ikna,sin
aervy|yaver,veya,vay,ver,yer
aakst|sakat,takas,atak,kast,saat
bkoru|boru,koru,obur,okur,kur
eimnt|metin,temin,emin,net,tim
aehlm|hamle,elma,hale,ham,hem
nortu|torun,onur,otur,not,tur
arstü|sürat,star,sür,süt,üst
aanry|ayran,aran,ayna,ana,ray
aeilm|aile,alem,imal,mail,mali
eklyü|yükle,ülke,kül,yük,üye
beegl|belge,gebe,ebe,ele,gel
alnsı|nasıl,alın,asıl,salı,nal
einrs|serin,siren,esir,reis,seri
beikş|beşik,ekşi,şike,beş,keş
aadgm|damga,dama,gama,ada,dam
eikrs|sirke,eksi,eski,risk,sirk
aakty|yatak,ayak,yaka,kat,kay
aaprs|arap,arsa,sara,sarp,rap
deimn|demin,denim,inme,mide,din
akllo|kolla,lokal,kola,kal,kol
aakry|yakar,arka,ayar,kara,yara
eirst|ister,iste,rest,sert,ters
knotu|konut,kont,konu,oku,ton
aablğ|bağla,abla,ağla,ağa,bağ
abrsı|sabır,asır,bar,sar,sır
aabkn|bakan,banka,bank,kaba,kan
beilt|bilet,elit,bel,bil,bit
iiknç|içkin,için,iki,ini,kin
aefks|kafes,faks,kafe,kase,saf
abkış|bakış,aşık,baş,kış,şık
ahitş|iştah,şahit,ait,hat,şah
aerst|teras,rast,sera,set,ter
deikr|direk,kredi,deri,kedi,dik
afils|iflas,asil,fil,laf,lif
almoz|olmaz,mola,alo,mal,zam
aanvy|yavan,ayna,ayva,vay,yan
abikl|kalbi,akli,abi,bak,ilk
aimnt|amin,inat,mani,tam,tan
aentz|zaten,ezan,taze,net,ten
aklor|karo,klor,kola,kral,rol
adkru|durak,kura,dar,dur,kur
ailrv|varil,viral,lira,vali,ila
aanrz|nazar,ranza,aran,azar,nara
adinr|dinar,nadir,dair,adi,nar
adnsu|sudan,dans,suna,dua,sun
anrtu|raunt,turna,tura,utan,art
adiln|ladin,adli,ilan,dil,nal
eikrç|kireç,içer,keçi,çeki,çek
ahipt|hatip,hitap,pati,hap,tip
arstu|surat,star,usta,tas,tur
akmpr|kramp,kamp,park,kap,rap
deiln|denli,dinle,deli,dile,del
amruz|maruz,mazur,arz,muz,zar
aemnt|metan,meta,tane,tema,nam
ablno|balon,balo,bal,boa,bol
eiksz|sekiz,eski,ezik,kez,siz
beikl|belki,bilek,bile,bel,bil
abltı|batıl,altı,atlı,batı,alt
adeil|ideal,aile,iade,dal,ile
aadkm|damak,adak,kama,ada,ama
akstu|kutsa,akut,kast,kas,sat
aeknz|enkaz,ezan,zeka,kan,kaz
aamtç|amaç,açma,maça,taç,çam
eikny|yenik,niye,yeni,yine,kin
aeilv|ilave,alev,evli,vale,vali
adlmo|dolma,moda,mola,mal,oda
ainns|insan,nisan,inan,san,sin
aarst|astar,arsa,rast,saat,sara
eiknç|çekin,ekin,inek,keçi,çeki
degir|dergi,gider,deri,geri,gri
eimny|yemin,emin,inme,yem,yen
anors|sonar,sonra,sar,son,sor
amrtı|martı,tarım,artı,atım,mart
eikrt|erik,terk,ret,ter,tik
abknu|bunak,abuk,bank,buna,bak
eiklp|ekip,klip,peki,pile,pil
arrsı|ısrar,asır,sarı,sıra,sır
adkor|kadro,karo,odak,kod,kor
deilp|deli,dile,edip,pide,dil
aadim|daima,adam,dama,adi,ima
akotz|koza,toka,kot,koz,toz
aikst|taksi,asit,kast,asi,kat
agkyı|kaygı,ayık,yıka,ayı,yak
aorty|aort,orta,oya,tay,toy
alttı|tatlı,altı,atlı,atıl,tat
deiky|dikey,diye,kedi,yedi,dik
kmuuy|kuyu,uyku,uyum,uyu,yum
abdor|dobra,baro,bar,boa,dar
aahly|halay,hayal,alay,hala,hay
aelnt|lanet,alet,net,tel,ten
amstı|astım,satım,sıtma,tam,tas
aavyz|ayaz,ayva,vaaz,vaz,yaz
afkrı|fıkra,fark,kar,kır,ırk
aakln|kalan,kanal,alan,anka,klan
beins|besin,besi,esin,ben,sen
aahty|hayat,hata,aha,ata,hat
aekst|kaset,kase,kes,set,tek
beirs|siber,beri,esir,reis,seri
abklu|kabul,abuk,ulak,bul,kal
eilns|nesil,lens,lise,sel,sil
kkouş|koku,koşu,koş,kuş,şok
aanyş|şayan,yaşa,ana,yan,yaş
atçış|atış,aşçı,taşı,çatı,taç
ahlsı|ıslah,asıl,halı,salı,hal
aastv|vasat,saat,tava,vaat,sat
aakny|yanak,ayak,ayna,yaka,kay
iiklp|iplik,ilik,klip,iki,pil
aikpr|rakip,kira,park,kap,rap
aampr|rampa,arap,arma,arpa,ara
aaloy|oyala,alay,olay,yala,yol
aafsy|sayfa,yasa,saf,say,yas
abhir|harbi,ihbar,bari,abi,bir
aarzı|arıza,azar,razı,arz,azı
hkouy|koyu,oyuk,huy,koy,yok
agrsı|sargı,sarı,sıra,arı,sar
aakmş|akşam,kama,maaş,şaka,aşk
eikms|kesim,kimse,ekim,eksi,kim
aalsç|salça,asal,asla,saç,çal
aamrs|sarma,arsa,asma,mars,sara
eilss|sesli,lise,ile,ses,sis
aably|albay,balya,abla,bal,bay
adnyı|aynı,dayı,anı,ayı,yad
egirs|sergi,esir,seri,gir,gri
alosı|olası,asıl,salı,alo,sol
aders|adres,ders,sade,sera,dar
aalns|aslan,sanal,alan,nal,sal
aelpt|palet,talep,alet,atel,tel
aklrı|karlı,akıl,kral,kıl,ırk
eiktö|öteki,etik,etki,kit,öte
ersst|stres,rest,sert,ters,set
ikmor|mikro,komi,krom,kir,mor
akkçı|kaçık,açık,çakı,kaç,çık
aabhs|sabah,saha,aha,bas,has
abelv|alev,bale,bela,vale,veba
altçı|alçı,çalı,çatı,alt,taç
abcoy|boca,boya,boa,boy,oya
akmyı|kıyma,akım,ayık,yıka,yak
alryı|ayrıl,ayrı,yarı,ray,yıl
aabrs|basar,arsa,sara,ara,bar
abkor|kobra,baro,karo,kar,kor
aenst|saten,sent,net,sen,tan
eikpr|erik,krep,peri,pike,pire
eiktş|ekşi,eşit,işte,tek,tik
klsıı|ıslık,sıkı,ılık,sık,ısı
aklmo|lokma,kola,koma,mola,mal
eikpş|ekip,peki,şike,keş,pek
aamst|tasma,asma,masa,saat,ama
akmuy|yamuk,kamu,kay,kum,yum
deill|delil,deli,dile,elli,del
aakrt|karat,tarak,atak,kart,art
aortz|aort,orta,rota,tarz,zor
eiltş|şilte,elit,etli,ilet,işle
aalny|yalan,alan,alay,yala,ana
akkış|kaşık,aşık,aşı,kış,şık
aapry|arya,ayar,yara,pay,yap
aeltv|evlat,alet,alev,atel,vale
aalmn|anlam,aman,lama,mala,nam
iikmn|minik,kimi,mini,ini,kim
aakly|aylak,akla,ayak,kala,yaka
aafrs|safra,arsa,sara,sarf,saf
alsğı|asıl,salı,ağı,sağ,sığ
aafln|falan,alfa,faal,laf,nal
abknı|bakın,bank,kanı,kına,bak
aalps|asal,asla,lapa,pala,pas
eirtş|reşit,şerit,eşit,işte,ter
biikt|bitik,bitki,bit,iki,kit
akyış|kayış,ayık,yıka,aşk,yaş
efils|sefil,lise,fil,lif,sil
adelt|delta,adet,alt,dal,tel
abory|baro,boya,bay,boy,oya
aacmn|amca,anca,cana,cam,can
ahikm|hakim,imha,mika,hak,ham
abirt|tabir,bari,tabi,ait,bir
aakrs|sakar,arka,kara,kasa,kas
anttı|tanıt,anıt,tanı,tan,tat
aklru|kural,kral,kura,ulak,kur
aablm|lamba,abla,alma,lama,mala
aalst|atlas,saat,tasa,sat,tas
aikmn|imkan,amin,ikna,mani,kin
aeknr|ekran,kenar,akne,renk,nar
enrtu|turne,tren,net,ten,tur
ainty|tayin,ayin,inat,yani,yat
aahlt|halat,hala,halt,hata,hal
alnot|tonla,nota,olta,not,ton
abktı|batı,katı,kıta,takı,tık
aekmr|krema,merak,kare,krem,kar
aklmu|makul,kamu,kal,kum,mal
amntı|tanım,atım,anı,nam,tam
ablış|başlı,alış,aşı,baş,şal
eilst|liste,iste,lise,site,stil
ailmt|talim,imal,mail,mali,tim
aabhr|bahar,hara,aha,ara,bar
knoru|konu,koru,okur,onur,kor
ahilm|halim,ihmal,ilham,imha,mil
aakps|kasap,kapa,kasa,kap,pas
ailmn|liman,ilan,ila,ima,nal
aaklr|karla,akla,arka,kala,kara
ailms|salim,asil,asi,sal,sil
aabms|basma,asma,masa,ama,bas
anrtı|tanrı,anıt,artı,tanı,arı
knttuu|tutkun,nutuk,tutku,tutun,kutu,unut
acdmoı|modacı,odacı,adım,cadı,moda,cam
glnçüü|gülünç,güçlü,günü,ünlü,gül,güç
klszöü|sözlük,sözlü,öksüz,lüks,öküz,söz
egnvçü|güven,güveç,üçgen,genç,güve,geç
koprsu|porsuk,kurs,skor,soru,spor,oku
bloruç|borçlu,boru,borç,obur,olur,rulo
eklyöü|köylü,yükle,öykü,öyle,köy,ölü
agryçı|yargıç,aygır,yargı,çayır,ayır,çay
gnzçöü|çözün,özgün,özgü,göz,göç,çöz
alpsuu|pusula,puslu,pusu,sulu,ulus,uslu
bklouş|boşluk,koşul,blok,oluş,boş,loş
kloruz|zorluk,zorlu,klor,koz,rol,zor
aamprç|çarpma,parça,rampa,araç,çapa,maç
klosuy|yoksul,soluk,soylu,koyu,oyuk,soy
adopsy|paydos,dosya,oysa,paso,soda,sopa
akksçı|kıskaç,kasık,kaçık,sıkça,kask,çak
aadikk|dakika,dakik,adak,ada,adi,dik
ablorş|başrol,balo,boşa,baş,bol,şal
begiry|beygir,birey,beri,bey,giy,gri
afrstı|fırsat,satır,artı,sarf,sırf,sırt
egimçş|geçmiş,geçim,geçiş,gemi,gişe,imge
agnory|yorgan,organ,yonga,argo,yoga,gar
afksçı|faksçı,açık,faks,çakı,saf,saç
dglnou|dolgun,dolgu,olgun,odun,olgu,gol
knosuy|yoksun,koyun,soyun,yosun,oyun,son
aklpçı|plakçı,açlık,kalıp,çakıl,kalp,kapı
agnsyı|saygın,saygı,sayın,gına,sayı,yas
bkruuy|buyruk,buyur,uyruk,kuru,kuyu,uyku
akprçı|parkçı,çarpık,kıraç,çarpı,çıkar,çırak
abnouy|boyuna,banyo,boyun,boya,buna,uyan
bikorç|birçok,borç,briç,kobi,koç,çok
abkrçı|kırbaç,bakır,bırak,bıçak,çark,çık
aceimz|mecazi,acemi,mecaz,aciz,cami,ceza
ahiprt|tahrip,hitap,parti,rahip,tarih,harp
beortu|etobur,turbo,ebru,otur,bot,but
acinps|sincap,nasip,cins,cips,pis,sin
bdmoru|bodrum,bodur,boru,obur,dur,mor
ablruv|bulvar,bavul,avlu,bul,lav,vur
alnsış|şanslı,nasıl,alın,alış,salı,şans
dknoru|dokun,donuk,doruk,doku,onur,don
efirtş|teşrif,reşit,şerif,şerit,şifre,fiş
ahklçı|halkçı,haklı,halk,halı,çalı,haç
dlosuu|dolusu,dolu,sulu,ulus,uslu,usul
akrçış|karış,karşı,kaçış,şarkı,aşçı,kaç
degmnü|gündem,dümen,günde,menü,dün,gün
adloyş|yoldaş,dolaş,olay,dal,loş,yol
kmruuy|yumruk,kurum,yumru,uyum,uyu,yum
ahkszı|haksız,sakız,kazı,haz,hız,kız
aknpçı|çapkın,kaçın,açın,kapı,çak,çan
aknrış|karşın,arşın,aşkın,karın,kıran,kanı
einrçğ|iğrenç,çiğne,eğri,içer,iğne,çiğ
aknpsı|sapkın,sakın,sanık,askı,kısa,pas
aelyış|eşyalı,yaşlı,eşya,yel,yıl,şey
aklsğı|sağlık,saklı,ıslak,asık,klas,sığ
abknsı|baskın,bakın,baskı,basın,bank,ıska
adknos|doksan,sonda,dans,kaos,odak,soda
eilnzö|özenli,öznel,izle,özel,özen,özne
aknışş|şaşkın,aşık,şaşı,kan,kış,şık
abikrç|birkaç,bakir,kabir,kibar,briç,kira
aloppt|laptop,palto,plato,topal,topla,pop
efilzü|füzeli,füze,üfle,fil,lif,zil
efiklö|öfkeli,kefil,köle,öfke,ilk,kel
aklyzı|yazlık,aylık,layık,yazık,yazı,kıl
abklno|balkon,balon,kablo,blok,klan,klon
aakmps|kapsam,aksam,kasap,makas,kamp,kapa
aaimnr|marina,aman,amir,imar,nara,ama
acimzı|imzacı,aciz,azim,cami,imza,caz
eiklnş|şenlik,eşlik,klişe,şekil,şekli,ekşi
abkloy|kaybol,kobay,kolay,balo,olay,boy
adhtuy|haydut,yahut,yahu,dut,duy,huy
abdkor|barkod,dobra,kadro,kobra,karo,kod
aknuyı|uyanık,kayın,yakın,yankı,yanık,uyan
akmzçı|çıkmaz,çıkma,kazı,maç,zam,çam
aklpyı|kalıp,kayıp,ayıp,kalp,plak,pay
aakmrç|karma,kaçar,marka,rakam,ramak,çakma
eiknsç|seçkin,seçki,sinek,çekin,skeç,seç
akrstı|artık,satır,atkı,atık,katı,sırt
dostyü|stüdyo,dost,tüyo,süt,tüy,üst
akruyı|yukarı,ayrık,uyarı,yarık,uyar,kur
eflntü|lütfen,tünel,flüt,lenf,fen,ten
abnoot|otoban,baton,bant,bono,nota,bot
dgnzüü|düzgün,gündüz,üzgün,günü,dün,düz
akntyı|yatkın,kanıt,kayıt,tanık,yakıt,yanıt
akmrzı|mızrak,kırma,kızar,rakım,ırmak,razı
aakmpr|parmak,kramp,parka,rampa,arma,park
ehirtş|teşhir,reşit,şehir,şehit,şerit,her
aaklpş|şaplak,lakap,plaka,şapka,lapa,pala
akpyzı|yazık,pazı,yapı,yazı,kız,yap
alnyzı|yalnız,yalın,yazın,yılan,zanlı,yaz
eikntç|çentik,etkin,etnik,içten,tekin,çetin
akrtış|karşıt,karşı,katır,taşır,tıraş,şarkı
aaklpr|parlak,karla,akla,kala,kral,para
aklszı|sazlık,saklı,sakız,ıslak,klas,kısa
efillç|felçli,elli,elçi,felç,ilçe,çile
aklmoç|lokma,çomak,koma,maço,çal,çok
aaprzç|çapraz,parça,pazar,araç,azar,çapa
kortuş|tokuş,koşu,kurt,otur,şort,tok
aakpry|yaprak,yakar,arap,arpa,ayar,yara
abeltı|ebatlı,balet,batıl,batı,bela,beta
akpryı|ayrık,kayıp,yarık,ayıp,kır,rap
akkrsı|sarkık,kasık,asık,kask,kırk,sık
aakmyç|yamaç,çakma,amaç,açma,maça,çay
aklrsı|kırsal,karlı,akıl,salı,kıl,ırk
aklmru|kumral,kural,kuram,makul,marul,ulak
ahlnzı|hızlan,hızla,halı,han,haz,hız
amruyı|uyarım,ayrım,uyarı,yarım,uyar,yum
deilmn|mendil,demin,denim,denli,dinle,nemli
alnoyı|onaylı,alın,onay,alo,yol,yıl
dlrtöü|dörtlü,öldür,dört,ödül,örtü,tür
deikrs|dirsek,direk,kredi,sirke,ders,disk
efiltç|telif,çifte,elit,etli,ilet,çift
aahrvy|havyar,ayva,hara,hava,hay,var
airsvü|süvari,varis,virüs,asi,sar,sür
